ID,Country,Name,Short Name,Type,Net Only Amount,VATIDRequired,Percents,Codes,Introduced At,Expired At
4fa1d190-9afc-400f-b121-cbbfbfbaf714,DE,Aufwand RC Treibhausgasemissionszertifikate,A RC 13/2 Nr.6,RECLAIMABLE,NET ONLY,VAT-ID,"[16, 19]","DATEV: 541r 16%
DATEV: 541r 19%
DATEV: 6541 16%
DATEV: 6541 19%",,
728089ae-8066-4eed-8a18-dfc4333fc84d,DE,Aufwand sonstige Leistungen EU,A SL EU,RECLAIMABLE,NET ONLY,VAT-ID,"[16, 19]","BMD: 78
BMD: 79r
DATEV: 506r 16%
DATEV: 506r 19%
DATEV: 6506 16%
DATEV: 6506 19%
DVO: 78
DVO: 79r",,
c4bcbd89-532d-45e9-a81f-addb3b170127,DE,Ausfuhrlieferungen,UST AL,PAYABLE,NET ONLY,,,DATEV: 1r,,
38872f7e-c741-4bb5-8028-84b8f1c65cad,DE,Dienstleisutng iVm Ausfuhr,UST AL DL,PAYABLE,NET ONLY,,,DATEV: 1r,,
d7c26561-a4f1-4c2b-bdc9-9da755c03994,DE,Dreiecksgeschäft,UST DEG1,PAYABLE,NET ONLY,VAT-ID,,:,,
6c1dd50c-1b62-4fc6-981d-05bca682589e,DE,Einfuhrumsatzsteuer,EUST,RECLAIMABLE,,,"[5, 7, 16, 19]","BMD: 34r
DVO: 34r",,
21e132b9-6345-4821-875b-9630b1cfab52,DE,Elektronische Dienstleistungen - MOSS,MOSS,PAYABLE,NET ONLY,,,DATEV: 44r,,
767f2e92-f97d-43d8-a4d3-e7a80045b4ca,DE,Grundstücksumsätze,UST Grund,PAYABLE,NET ONLY,,,"BMD: 24r
DVO: 24r",,
4e143f18-bc16-48c1-bf1d-1e1609fbbadc,DE,innergemeinschaftliche Lieferung,igL,PAYABLE,NET ONLY,VAT-ID,,"BMD: 7r
DATEV: 11r
DVO: 7r",,
1f927787-1504-4981-b0e0-f2c9f1358632,DE,innergemeinschaftlicher Erwerb,igE,RECLAIMABLE,NET ONLY,VAT-ID,"[5, 7, 16, 19]","BMD: 8
BMD: 9r
DATEV: 16r 5%
DATEV: 17r 16%
DATEV: 18r 7%
DATEV: 19r 19%
DVO: 8
DVO: 9r",,
